Date,Name,Year,Letterboxd URI
2023-08-09,Saint Maud,2019,https://boxd.it/l8QA
2023-08-09,The Night House,2020,https://boxd.it/jZze
2023-08-09,Jacob's Ladder,1990,https://boxd.it/270g
2023-08-09,What Ever Happened to Baby Jane?,1962,https://boxd.it/1WJE
2023-08-09,Relic,2020,https://boxd.it/jEwS
2023-08-09,The Innocents,2021,https://boxd.it/oAlc
2023-08-09,Gretel & Hansel,2020,https://boxd.it/jLOk
2023-08-09,They/Them,2022,https://boxd.it/uLWU
2023-08-10,Top Gun: Maverick,2022,https://boxd.it/cjr4
2023-08-10,Bohemian Rhapsody,2018,https://boxd.it/f1TK
2023-08-10,Elvis,2022,https://boxd.it/mK4w
2023-08-10,Citizen Kane,1941,https://boxd.it/71O
2023-08-10,Casablanca,1942,https://boxd.it/2aG0
2023-08-10,Rocketman,2019,https://boxd.it/iehK
2023-08-10,Whiplash,2014,https://boxd.it/7bQA
2023-08-10,Little Women,2019,https://boxd.it/aSVk
2023-08-10,RRR,2022,https://boxd.it/ljDs
2023-08-10,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM
2023-08-10,The Fast and the Furious,2001,https://boxd.it/1XMu
2023-08-10,Metropolis,1927,https://boxd.it/71a
2023-08-10,Normal People,2020,https://boxd.it/q2VY
2023-08-10,No Hard Feelings,2023,https://boxd.it/xouu
2023-08-10,Close,2022,https://boxd.it/y4qa
2023-08-10,Amsterdam,2022,https://boxd.it/oJ58
2023-08-10,Furious 7,2015,https://boxd.it/5cVs
2023-08-10,Fast Five,2011,https://boxd.it/BgO
2023-08-10,The Woman King,2022,https://boxd.it/r9a8
2023-08-10,Fast X,2023,https://boxd.it/drIu
2023-08-10,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA
2023-08-10,The Good Dinosaur,2015,https://boxd.it/3AD4
2023-08-10,Fast & Furious 6,2013,https://boxd.it/2UG6
2023-08-10,The Fate of the Furious,2017,https://boxd.it/bbCw
2023-08-10,Fast & Furious,2009,https://boxd.it/1Pnm
2023-08-10,The Artist,2011,https://boxd.it/2AwK
2023-08-10,Tetris,2023,https://boxd.it/rePK
2023-08-10,Moonfall,2022,https://boxd.it/ejwM
2023-08-10,The Color Purple,1985,https://boxd.it/29oO
2023-08-10,Disenchanted,2022,https://boxd.it/bg9E
2023-08-10,Blade,,https://boxd.it/mOS6
2023-08-10,Avengers: Doomsday,2026,https://boxd.it/BVqy
2023-08-10,Avengers: Secret Wars,2027,https://boxd.it/BVqI
2023-08-10,Aftersun,2022,https://boxd.it/Arw0
2023-08-12,Spider-Man: Beyond the Spider-Verse,2027,https://boxd.it/ykgU
2023-08-12,Untitled The Batman Sequel,2027,https://boxd.it/umDy
2023-08-12,Avatar 4,2029,https://boxd.it/6rz4
2023-08-12,Avatar 5,2031,https://boxd.it/dKrC
2023-08-12,John Wick: Chapter 5,,https://boxd.it/roO8
2023-08-12,A Haunting in Venice,2023,https://boxd.it/zGdg
2023-09-05,Teenage Mutant Ninja Turtles: Mutant Mayhem 2,2027,https://boxd.it/HLfs
2023-12-12,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2023-12-15,Deep Sea,2023,https://boxd.it/oRIs
2024-05-02,Spider-Man: Brand New Day,2026,https://boxd.it/ACJE
2024-05-02,Road House,2024,https://boxd.it/cdzQ
2024-05-02,The Shrouds,2024,https://boxd.it/AEZa
2024-07-01,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2024-07-01,Dogtooth,2009,https://boxd.it/158K
2024-07-01,Nimic,2019,https://boxd.it/n10Q
2024-07-08,The Pod Generation,2023,https://boxd.it/xBjY
2024-07-10,How to be a Slut in America,2017,https://boxd.it/hCXI
2024-07-13,We Are Thr3e,2018,https://boxd.it/iuW0
2024-07-19,The Lord of the Rings: The War of the Rohirrim,2024,https://boxd.it/vDNs
2024-07-19,In the Lost Lands,2025,https://boxd.it/ayFc
2024-07-20,Lisa Frankenstein,2024,https://boxd.it/ByjY
2024-07-20,Untitled Jordan Peele Film,,https://boxd.it/FHH4
